Designator,Mid X,Mid Y,Rotation,Layer
C1,151.0,-54.51,180.0,top
C10,197.5,-121.01,90.0,top
C11,188.5,-130.26,270.0,top
C12,197.5,-130.26,90.0,top
C13,188.5,-139.51,270.0,top
C14,197.5,-139.51,90.0,top
C15,188.5,-91.76,270.0,top
C16,197.5,-91.76,90.0,top
C17,201.0,-96.26,0.0,top
C18,201.0,-107.26,0.0,top
C19,185.0,-100.76,180.0,top
C2,151.0,-74.51,0.0,top
C20,185.0,-102.76,180.0,top
C21,188.5,-94.76,270.0,top
C22,188.5,-88.76,90.0,top
C23,201.0,-100.76,0.0,top
C24,201.0,-102.76,0.0,top
C25,197.5,-94.76,270.0,top
C26,197.5,-88.78,90.0,top
C27,188.5,-136.51,90.0,top
C28,197.5,-136.51,90.0,top
C3,190.0,-85.26,90.0,top
C4,151.0,-52.26,180.0,top
C5,151.0,-76.51,0.0,top
C6,196.0,-85.26,90.0,top
C7,188.5,-111.76,270.0,top
C8,197.5,-111.76,90.0,top
C9,188.5,-121.01,270.0,top
D1,151.0,-56.51,180.0,top
D2,151.0,-72.51,0.0,top
D3,183.0,-136.51,90.0,top
D4,179.5,-136.51,270.0,top
D5,203.0,-136.51,90.0,top
D6,206.5,-136.51,270.0,top
J1,151.7375,-64.5,0.0,bottom
J10,166.0,-126.1775,0.0,top
J11,156.0,-139.6775,0.0,top
J12,146.0,-139.6775,0.0,top
J13,166.0,-139.6775,0.0,top
J2,169.025,-110.12,0.0,bottom
J3,133.025,-110.12,0.0,bottom
J4,211.0,-110.145,0.0,top
J5,175.0,-110.145,0.0,top
J6,136.0,-126.1775,0.0,top
J7,146.0,-126.1775,0.0,top
J8,136.0,-139.6775,0.0,top
J9,156.0,-126.1775,0.0,top
R1,188.5,-85.26,90.0,top
R10,185.0,-105.76,0.0,top
R11,185.0,-104.26,0.0,top
R12,138.5,-113.26,270.0,top
R13,185.0,-88.76,90.0,top
R14,158.5,-117.76,90.0,top
R15,161.0,-63.01,90.0,top
R16,163.5,-117.76,90.0,top
R17,161.0,-88.26,90.0,top
R18,201.0,-97.76,180.0,top
R19,201.0,-99.26,180.0,top
R2,185.0,-96.26,180.0,top
R20,201.0,-94.76,180.0,top
R21,201.0,-105.76,180.0,top
R22,201.0,-104.26,180.0,top
R23,158.5,-113.26,270.0,top
R24,201.0,-88.76,90.0,top
R25,185.0,-108.76,0.0,top
R26,185.0,-114.76,0.0,top
R27,185.0,-118.01,0.0,top
R28,185.0,-124.01,0.0,top
R29,185.01,-127.26,0.0,top
R3,138.5,-117.76,90.0,top
R30,188.5,-108.76,270.0,top
R31,188.5,-114.76,90.0,top
R32,188.5,-118.01,270.0,top
R33,188.5,-124.01,90.0,top
R34,188.5,-127.26,270.0,top
R35,185.0,-110.26,180.0,top
R36,185.0,-111.76,180.0,top
R37,185.0,-113.26,180.0,top
R38,185.0,-116.26,180.0,top
R39,185.0,-130.26,180.0,top
R4,141.0,-63.01,90.0,top
R40,185.0,-131.76,180.0,top
R41,185.0,-128.76,180.0,top
R42,185.0,-133.26,0.0,top
R43,188.5,-133.26,270.0,top
R44,186.0,-136.51,90.0,top
R45,183.0,-139.51,90.0,top
R46,186.0,-139.5,270.0,top
R47,186.0,-143.0,270.0,top
R48,183.0,-142.76,270.0,top
R49,201.0,-108.76,180.0,top
R5,143.5,-117.76,90.0,top
R50,201.0,-114.76,180.0,top
R51,201.0,-118.01,180.0,top
R52,201.0,-124.01,180.0,top
R53,201.0,-127.26,180.0,top
R54,197.5,-108.76,270.0,top
R55,197.5,-114.76,90.0,top
R56,197.5,-118.01,270.0,top
R57,197.5,-124.01,90.0,top
R58,197.5,-127.26,270.0,top
R59,201.0,-110.26,0.0,top
R6,141.0,-88.26,90.0,top
R60,201.0,-111.76,0.0,top
R61,201.0,-113.26,0.0,top
R62,201.01,-116.26,0.0,top
R63,201.0,-130.26,0.0,top
R64,201.0,-131.76,0.0,top
R65,201.01,-128.76,0.0,top
R66,201.0,-133.26,180.0,top
R67,197.5,-133.26,270.0,top
R68,200.0,-136.51,90.0,top
R69,203.0,-139.51,90.0,top
R7,185.0,-97.76,0.0,top
R70,200.0,-139.51,270.0,top
R71,200.0,-143.0,270.0,top
R72,203.0,-142.76,270.0,top
R8,185.0,-99.26,0.0,top
R9,185.0,-94.76,0.0,top
RV1,141.0,-53.7475,0.0,top
RV2,141.0,-78.7475,0.0,top
RV3,141.0,-103.7475,0.0,top
RV4,161.0,-53.7475,0.0,top
RV5,161.0,-78.7475,0.0,top
RV6,161.0,-103.7475,0.0,top
U1,193.0,-85.26,0.0,top
U2,193.0,-111.76,270.0,top
U3,193.0,-121.01,270.0,top
U4,193.0,-130.26,270.0,top
U5,193.0,-139.51,270.0,top
U6,193.0,-91.76,270.0,top
U7,193.0,-101.76,270.0,top
